speed;time
7,36;1.62825E+12
7,36;1.62825E+12
7,36;1.62825E+12
7,36;1.62825E+12
7,21;1.62825E+12
7,28;1.62825E+12
7,21;1.62825E+12
7,14;1.62825E+12
7,2;1.62825E+12
7,2;1.62825E+12
7,17;1.62825E+12
7,09;1.62825E+12
7,16;1.62825E+12
7,2;1.62825E+12
7,1;1.62825E+12
7,14;1.62825E+12
7,1;1.62825E+12
7,15;1.62825E+12
7,17;1.62825E+12
7,31;1.62825E+12
7,32;1.62825E+12
7,25;1.62825E+12
7,34;1.62825E+12
7,34;1.62825E+12
7,4;1.62825E+12
7,4;1.62825E+12
7,42;1.62825E+12
7,45;1.62825E+12
7,42;1.62825E+12
7,44;1.62825E+12
7,53;1.62825E+12
7,58;1.62825E+12
7,6;1.62825E+12
7,58;1.62825E+12
7,63;1.62825E+12
7,62;1.62825E+12
7,61;1.62825E+12
7,63;1.62825E+12
7,68;1.62825E+12
7,7;1.62825E+12
7,72;1.62825E+12
7,69;1.62825E+12
7,75;1.62825E+12
7,77;1.62825E+12
7,77;1.62825E+12
7,72;1.62825E+12
7,85;1.62825E+12
7,78;1.62825E+12
7,79;1.62825E+12
7,79;1.62825E+12
7,84;1.62825E+12
7,89;1.62825E+12
7,81;1.62825E+12
7,86;1.62825E+12
7,85;1.62825E+12
7,92;1.62825E+12
7,83;1.62825E+12
7,92;1.62825E+12
7,93;1.62825E+12
7,84;1.62825E+12
7,94;1.62825E+12
7,94;1.62825E+12
7,94;1.62825E+12
7,98;1.62825E+12
7,91;1.62825E+12
7,93;1.62825E+12
8,04;1.62825E+12
7,88;1.62825E+12
7,96;1.62825E+12
7,95;1.62825E+12
8,05;1.62825E+12
8,02;1.62825E+12
8,12;1.62825E+12
8,08;1.62825E+12
8,08;1.62825E+12
8,08;1.62825E+12
8,15;1.62825E+12
8,08;1.62825E+12
8,3;1.62825E+12
8,23;1.62825E+12
8,21;1.62825E+12
8,35;1.62825E+12
8,37;1.62825E+12
8,41;1.62825E+12
8,33;1.62825E+12
8,4;1.62825E+12
8,45;1.62825E+12
8,44;1.62825E+12
8,5;1.62825E+12
8,57;1.62825E+12
8,56;1.62825E+12
8,69;1.62825E+12
8,66;1.62825E+12
8,84;1.62825E+12
8,81;1.62825E+12
8,74;1.62825E+12
8,84;1.62825E+12
8,81;1.62825E+12
8,91;1.62825E+12
8,94;1.62825E+12
8,9;1.62825E+12
9,07;1.62825E+12
9,1;1.62825E+12
9,11;1.62825E+12
9,19;1.62825E+12
9,21;1.62825E+12
9,25;1.62825E+12
9,17;1.62825E+12
9,35;1.62825E+12
9,35;1.62825E+12
9,42;1.62825E+12
