speed,time
"9,51",2021-08-06 11:40:00
"9,55",2021-08-06 11:40:00
"9,44",2021-08-06 11:40:00
"9,44",2021-08-06 11:40:00
"9,41",2021-08-06 11:40:00
"9,38",2021-08-06 11:40:00
"9,48",2021-08-06 11:40:00
"9,34",2021-08-06 11:40:00
"9,42",2021-08-06 11:40:00
"9,41",2021-08-06 11:40:00
"9,36",2021-08-06 11:40:00
"9,36",2021-08-06 11:40:00
"9,42",2021-08-06 11:40:00
"9,39",2021-08-06 11:40:00
"9,4",2021-08-06 11:40:00
"9,4",2021-08-06 11:40:00
"9,37",2021-08-06 11:40:00
"9,33",2021-08-06 11:40:00
"9,28",2021-08-06 11:40:00
"9,3",2021-08-06 11:40:00
"9,35",2021-08-06 11:40:00
"9,34",2021-08-06 11:40:00
"9,24",2021-08-06 11:40:00
"9,35",2021-08-06 11:40:00
"9,27",2021-08-06 11:40:00
"9,24",2021-08-06 11:40:00
"9,26",2021-08-06 11:40:00
"9,21",2021-08-06 11:40:00
"9,19",2021-08-06 11:40:00
"9,28",2021-08-06 11:40:00
"9,24",2021-08-06 11:40:00
"9,28",2021-08-06 11:40:00
"9,18",2021-08-06 11:40:00
"9,23",2021-08-06 11:40:00
"9,19",2021-08-06 11:40:00
"9,16",2021-08-06 11:40:00
"9,19",2021-08-06 11:40:00
"9,08",2021-08-06 11:40:00
"9,08",2021-08-06 11:40:00
"9,14",2021-08-06 11:40:00
"9,1",2021-08-06 11:40:00
9,2021-08-06 11:40:00
"9,13",2021-08-06 11:40:00
"9,06",2021-08-06 11:40:00
"9,01",2021-08-06 11:40:00
"9,01",2021-08-06 11:40:00
9,2021-08-06 11:40:00
"8,93",2021-08-06 11:40:00
"8,93",2021-08-06 11:40:00
"8,87",2021-08-06 11:40:00
"8,96",2021-08-06 11:40:00
"8,87",2021-08-06 11:40:00
"8,92",2021-08-06 11:40:00
"8,9",2021-08-06 11:40:00
"8,81",2021-08-06 11:40:00
"8,85",2021-08-06 11:40:00
"8,75",2021-08-06 11:40:00
"8,71",2021-08-06 11:40:00
"8,73",2021-08-06 11:40:00
"8,74",2021-08-06 11:40:00
"8,66",2021-08-06 11:40:00
"8,67",2021-08-06 11:40:00
"8,62",2021-08-06 11:40:00
"8,58",2021-08-06 11:40:00
"8,49",2021-08-06 11:40:00
"8,49",2021-08-06 11:40:00
"8,45",2021-08-06 11:40:00
"8,39",2021-08-06 11:40:00
"8,41",2021-08-06 11:40:00
"8,42",2021-08-06 11:40:00
"8,35",2021-08-06 11:40:00
"8,3",2021-08-06 11:40:00
"8,24",2021-08-06 11:40:00
"8,25",2021-08-06 11:40:00
"8,19",2021-08-06 11:40:00
"8,19",2021-08-06 11:40:00
"8,21",2021-08-06 11:40:00
"8,21",2021-08-06 11:40:00
"8,21",2021-08-06 11:40:00
"8,09",2021-08-06 11:40:00
"8,06",2021-08-06 11:40:00
"8,1",2021-08-06 11:40:00
"8,05",2021-08-06 11:40:00
"7,91",2021-08-06 11:40:00
"8,04",2021-08-06 11:40:00
"7,9",2021-08-06 11:40:00
8,2021-08-06 11:40:00
8,2021-08-06 11:40:00
"7,86",2021-08-06 11:40:00
"7,99",2021-08-06 11:40:00
"7,89",2021-08-06 11:40:00
"7,96",2021-08-06 11:40:00
"7,93",2021-08-06 11:40:00
"7,86",2021-08-06 11:40:00
"7,91",2021-08-06 11:40:00
"7,91",2021-08-06 11:40:00
"7,88",2021-08-06 11:40:00
"7,91",2021-08-06 11:40:00
"7,9",2021-08-06 11:40:00
"7,89",2021-08-06 11:40:00
"7,9",2021-08-06 11:40:00
"7,98",2021-08-06 11:40:00
"7,86",2021-08-06 11:40:00
"7,93",2021-08-06 11:40:00
"7,85",2021-08-06 11:40:00
"7,93",2021-08-06 11:40:00
"7,99",2021-08-06 11:40:00
"7,9",2021-08-06 11:40:00
"8,02",2021-08-06 11:40:00
"7,98",2021-08-06 11:40:00
"7,99",2021-08-06 11:40:00
8,2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,08",2021-08-06 11:40:00
"8,11",2021-08-06 11:40:00
"8,14",2021-08-06 11:40:00
"8,19",2021-08-06 11:40:00
"8,11",2021-08-06 11:40:00
"8,22",2021-08-06 11:40:00
"8,3",2021-08-06 11:40:00
"8,27",2021-08-06 11:40:00
"8,28",2021-08-06 11:40:00
"8,36",2021-08-06 11:40:00
"8,44",2021-08-06 11:40:00
"8,43",2021-08-06 11:40:00
"8,51",2021-08-06 11:40:00
"8,53",2021-08-06 11:40:00
"8,59",2021-08-06 11:40:00
"8,72",2021-08-06 11:40:00
"8,7",2021-08-06 11:40:00
"8,79",2021-08-06 11:40:00
"8,85",2021-08-06 11:40:00
"8,85",2021-08-06 11:40:00
"8,85",2021-08-06 11:40:00
"8,91",2021-08-06 11:40:00
"9,02",2021-08-06 11:40:00
"9,13",2021-08-06 11:40:00
"9,1",2021-08-06 11:40:00
"9,19",2021-08-06 11:40:00
"9,3",2021-08-06 11:40:00
"9,39",2021-08-06 11:40:00
"9,37",2021-08-06 11:40:00
"9,45",2021-08-06 11:40:00
"9,5",2021-08-06 11:40:00
"9,53",2021-08-06 11:40:00
"9,44",2021-08-06 11:40:00
"9,65",2021-08-06 11:40:00
"9,66",2021-08-06 11:40:00
"9,76",2021-08-06 11:40:00
